,campus_id,campus_name,dept,difficulty,name,quality,rating_count,retake,tag_accessibleoutsideclass,tag_amazinglectures,tag_bewareofpopquizzes,tag_caring,tag_cleargradingcriteria,tag_extracredit,tag_getreadytoread,tag_givesgoodfeedback,tag_gradedbyfewthings,tag_groupprojects,tag_hilarious,tag_inspirational,tag_lectureheavy,tag_lotsofhomework,tag_participationmatters,tag_respected,tag_skipclassyouwon'tpass,tag_somanypapers,tag_testheavy,tag_toughgrader
48,2,Abraham Baldwin Agricultural College,Biology,4.5,Keetra Branch,2.0,40,27%,1,,1,1,,1,3,1,4,,,,8,4,1,,6,,4,10
49,2,Abraham Baldwin Agricultural College,Chemistry,3.2,Barry Miburo,2.8,38,N/A,2,,1,1,1,9,1,3,,,,2,2,10,3,,1,,,4
50,2,Abraham Baldwin Agricultural College,Mathematics,4.4,Stephanie Holcombe,1.6,37,N/A,,,,,,,,,,,,,,,,,,,,
51,2,Abraham Baldwin Agricultural College,Mathematics,3.9,Lori Pearman,2.5,33,38%,3,,,1,,2,,,1,,,,2,,,,10,,4,8
52,2,Abraham Baldwin Agricultural College,Health Science,1.8,Donna Campbell,4.8,32,100%,2,1,,4,2,,,1,,,7,2,,,,1,3,,,
53,2,Abraham Baldwin Agricultural College,History,1.7,Larry McGruder,4.5,31,N/A,,,,,,,,,,,,,,,,,,,,
54,2,Abraham Baldwin Agricultural College,Mathematics,2.9,Melanie Partlow,4.3,31,92%,4,,,4,,9,,1,,,6,,,8,,1,5,,,1
55,2,Abraham Baldwin Agricultural College,Mathematics,2.4,Eunkyung You,4.1,31,83%,1,,,5,6,1,,4,,,3,1,1,4,1,5,5,,,1
56,2,Abraham Baldwin Agricultural College,Communication,4.1,John Galyean,2.8,30,N/A,,,,,,,,,,,,,,,,,,,,
57,2,Abraham Baldwin Agricultural College,Psychology,2.0,Suzanne Smith,4.8,29,100%,,6,,10,3,5,1,2,2,3,4,2,3,,6,4,7,,,
58,3,Academy of Art University,Illustration,3.6,Oliver Sin,3.3,97,20%,,1,,3,1,1,,8,,,1,3,,1,2,,2,,,1
59,3,Academy of Art University,Photography,2.9,Michael Erdman,4.8,89,100%,,3,,3,4,,,13,,,,9,,1,1,5,1,,,2
60,3,Academy of Art University,Graphic Arts,2.6,Frank Pietronigro,4.6,49,N/A,,7,,1,2,,,18,,1,2,12,3,5,8,7,5,,,
